Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.0,1.2,1.8,11,32.32,-21.71,-1.36
1,2,0.0,1.2,1.8,15,32.28,-22.34,-1.4
1,2,0.0,1.2,1.8,19,32.32,-18.65,-1.11
1,2,0.0,1.2,2.1,3,32.34,-28.01,-1.86
1,2,0.0,1.2,2.1,7,32.28,-23.6,-1.5
1,2,0.0,1.2,2.1,11,32.32,-21.71,-1.36
1,2,0.0,1.2,2.1,15,32.28,-22.34,-1.4
1,2,0.0,1.2,2.1,19,32.32,-18.65,-1.11
1,2,0.0,1.5,0.0,3,32.02,-23.59,-1.47
1,2,0.0,1.5,0.0,7,32.0,-19.21,-1.13
1,2,0.0,1.5,0.0,11,32.01,-14.05,-0.75
1,2,0.0,1.5,0.0,15,32.01,-13.71,-0.73
1,2,0.0,1.5,0.0,19,32.01,-14.05,-0.75
1,2,0.0,1.5,0.3,3,32.16,-23.8,-1.49
1,2,0.0,1.5,0.3,7,32.13,-20.33,-1.22
1,2,0.0,1.5,0.3,11,32.13,-15.19,-0.84
1,2,0.0,1.5,0.3,15,32.13,-15.05,-0.83
1,2,0.0,1.5,0.3,19,32.13,-15.39,-0.85
1,2,0.0,1.5,0.6,3,32.16,-23.8,-1.49
1,2,0.0,1.5,0.6,7,32.13,-20.33,-1.22
1,2,0.0,1.5,0.6,11,32.13,-15.19,-0.84
1,2,0.0,1.5,0.6,15,32.13,-15.05,-0.83
1,2,0.0,1.5,0.6,19,32.13,-15.39,-0.85
1,2,0.0,1.5,0.9,3,32.16,-23.8,-1.49
1,2,0.0,1.5,0.9,7,32.13,-20.33,-1.22
1,2,0.0,1.5,0.9,11,32.13,-15.19,-0.84
1,2,0.0,1.5,0.9,15,32.13,-15.05,-0.83
1,2,0.0,1.5,0.9,19,32.13,-15.39,-0.85
1,2,0.0,1.5,1.2,3,32.16,-23.8,-1.49
1,2,0.0,1.5,1.2,7,32.13,-20.33,-1.22
1,2,0.0,1.5,1.2,11,32.13,-15.19,-0.84
1,2,0.0,1.5,1.2,15,32.13,-15.05,-0.83
1,2,0.0,1.5,1.2,19,32.13,-15.39,-0.85
1,2,0.0,1.5,1.5,3,32.16,-23.8,-1.49
1,2,0.0,1.5,1.5,7,32.13,-20.33,-1.22
1,2,0.0,1.5,1.5,11,32.13,-15.19,-0.84
1,2,0.0,1.5,1.5,15,32.13,-15.05,-0.83
1,2,0.0,1.5,1.5,19,32.13,-15.39,-0.85
1,2,0.0,1.5,1.8,3,32.16,-23.8,-1.49
1,2,0.0,1.5,1.8,7,32.13,-20.33,-1.22
1,2,0.0,1.5,1.8,11,32.13,-15.19,-0.84
1,2,0.0,1.5,1.8,15,32.13,-15.05,-0.83
1,2,0.0,1.5,1.8,19,32.13,-15.39,-0.85
1,2,0.0,1.5,2.1,3,32.16,-23.8,-1.49
1,2,0.0,1.5,2.1,7,32.13,-20.33,-1.22
1,2,0.0,1.5,2.1,11,32.13,-15.19,-0.84
1,2,0.0,1.5,2.1,15,32.13,-15.05,-0.83
1,2,0.0,1.5,2.1,19,32.13,-15.39,-0.85
1,2,0.0,1.8,0.0,3,31.94,-15.16,-0.82
1,2,0.0,1.8,0.0,7,31.91,-12.78,-0.65
1,2,0.0,1.8,0.0,11,31.87,-12.06,-0.6
1,2,0.0,1.8,0.0,15,31.89,-10.6,-0.51
1,2,0.0,1.8,0.0,19,31.89,-9.45,-0.43
1,2,0.0,1.8,0.3,3,32.07,-16.26,-0.9
1,2,0.0,1.8,0.3,7,32.05,-14.97,-0.8
1,2,0.0,1.8,0.3,11,32.03,-13.95,-0.73
1,2,0.0,1.8,0.3,15,32.05,-12.46,-0.63
1,2,0.0,1.8,0.3,19,32.05,-11.29,-0.55
1,2,0.0,1.8,0.6,3,32.07,-16.26,-0.9
1,2,0.0,1.8,0.6,7,32.05,-14.97,-0.8
1,2,0.0,1.8,0.6,11,32.03,-13.95,-0.73
1,2,0.0,1.8,0.6,15,32.05,-12.46,-0.63
1,2,0.0,1.8,0.6,19,32.05,-11.29,-0.55
1,2,0.0,1.8,0.9,3,32.07,-16.26,-0.9
1,2,0.0,1.8,0.9,7,32.05,-14.97,-0.8
1,2,0.0,1.8,0.9,11,32.03,-13.95,-0.73
1,2,0.0,1.8,0.9,15,32.05,-12.46,-0.63
1,2,0.0,1.8,0.9,19,32.05,-11.29,-0.55
1,2,0.0,1.8,1.2,3,32.07,-16.26,-0.9
1,2,0.0,1.8,1.2,7,32.05,-14.97,-0.8
1,2,0.0,1.8,1.2,11,32.03,-13.95,-0.73
1,2,0.0,1.8,1.2,15,32.05,-12.46,-0.63
1,2,0.0,1.8,1.2,19,32.05,-11.29,-0.55
1,2,0.0,1.8,1.5,3,32.07,-16.26,-0.9
1,2,0.0,1.8,1.5,7,32.05,-14.97,-0.8
1,2,0.0,1.8,1.5,11,32.03,-13.95,-0.73
1,2,0.0,1.8,1.5,15,32.05,-12.46,-0.63
1,2,0.0,1.8,1.5,19,32.05,-11.29,-0.55
1,2,0.0,1.8,1.8,3,32.07,-16.26,-0.9
1,2,0.0,1.8,1.8,7,32.05,-14.97,-0.8
1,2,0.0,1.8,1.8,11,32.03,-13.95,-0.73
1,2,0.0,1.8,1.8,15,32.05,-12.46,-0.63
1,2,0.0,1.8,1.8,19,32.05,-11.29,-0.55
1,2,0.0,1.8,2.1,3,32.07,-16.26,-0.9
1,2,0.0,1.8,2.1,7,32.05,-14.97,-0.8
1,2,0.0,1.8,2.1,11,32.03,-13.95,-0.73
1,2,0.0,1.8,2.1,15,32.05,-12.46,-0.63
1,2,0.0,1.8,2.1,19,32.05,-11.29,-0.55
1,2,0.0,2.1,0.0,3,31.91,-10.37,-0.49
1,2,0.0,2.1,0.0,7,31.86,-13.25,-0.68
1,2,0.0,2.1,0.0,11,31.86,-16.25,-0.89
1,2,0.0,2.1,0.0,15,31.86,-15.12,-0.81
1,2,0.0,2.1,0.0,19,31.86,-14.42,-0.76
